ID,Nama UMKM,Alamat
1,Bakso Al gibran,"Jl. Raya Barat Jatibarang, Penumbukan, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
2,Bakso Sintal,"Jl. Raya Tim., Jatibarang Lor, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
3,Bakso om  Heri,"Jl. Raya Jatibarang - Brebes, Buaran, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
4,Bakso om Heri,"Jl. Raya Jatibarang - Brebes, Buaran, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
5,Kedai R3,"Alamat: Jl. Pramuka No.116, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
6,Bakso Intan,"Penumbukan, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52262"
7,Bakso Intan,"Penumbukan, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 5226"
8,Pondok bakso Granat,"23M4+R48, Jalan Raya, Jatibarang, Jatibarang Lor, Jatibarang, Brebes Regency, Central Java 52261"
9,Bakso tak terduga,"Jl. Abimanyu No.30, Talang Bata, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
10,Bakso jarwo,"23M4+VPH Kios baru, pasar, Jatibarang Lor, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
11,Bakso GM wonogiri,"jatibarang kidul RT 04/06, Penumbukan, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
12,Bakso Mas Gondrong,"Jl. Raya Barat Jatibarang, Jatibarang, Jatibarang Lor, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 5226"
13,Bakso Mas Gondrong,"Jl. Raya Barat Jatibarang, Jatibarang, Jatibarang Lor, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
14,Bakso Urat 6000 Maspink,"Turi, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
15,Kedai Bakso Gajah Mungkur,"Jl. Raya Tim. No.98, Penumbukan, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
16,Bakso tetelan mas Bagong,"Jl. Raya Jati Barang-Brebes, Jatibarang, Jatibarang Lor, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
17,Pondok Bakso prima sari,"Jatibarang, Jatibarang Lor, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
18,Bakso idola," Jl. Raya Lengkong No.1, Kalipucang, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
19,Bakso mamih,"Jl. Raya Tim., Penumbukan, Jatibarang Lor, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
20,Bakso Petir,"Kebonagung, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
21,Bakso Boom Solo 3,"Jatibarang Lor, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
22,Bakso & soto bang udin,"23R2+PJ6, Jalan Raya Jati Barang, Janegara, Jatibarang, Brebes Regency, Central Java 52261"
23,"Pondok bakso ""mba arum""","Jl. Pramuka No.96, Turi, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
24,Tahu Bakso mba Mita," Penumbukan, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
25,Kedai Rumah Mie ayam kering & Bakso Mas Abil,"Jl. Desa Bojong, Bojong, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
26,Mie ayam & Bakso Anugrah,"Jl. Pramuka No.14, Turi, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
27,Bakso Ah mantap,"23J3+2WQ, Turi, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
28,Bakso Abud," 33GC+R7G, Tembongkramat, Kramat, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
29,Bakso Putri Solo,"23J5+67P, Penumbukan, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
30,Pondok bakso bang yanto,"Jl. Abimanyu No.Desa, Penumbukan, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
31,Bakso siyem,"Kedungtukang, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah"
32,Bakso mas Toni," 23P3+GX3, RT.01/RW.05, Jatibarang, Jatibarang Lor, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
33,Bakso Campur Sari,"22PW+HGV, Unnamed Road, Klampis Timur, Klampis, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
34,Pondok Soto & Bakso Balungan," Jl. Ketanggungan - Slawi No.Desa, Kemiriamba, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
35,Pondok Bakso Irma Sari,Desa Pedeslohor (Jln Raya Pedeslohor Jatibarang - Brebes) BrebesJawa Tengah 52261
36,Nasi goreng mas ipung," 324V+MM9, Unnamed Road, Sawah, Janegara, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
37,Nasi goreng Saranghae,"Jl. Raya Tim. No.159 B, Penumbukan, Jatibarang Lor, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
38,Nasi goreng bang roni,"23J6+VMR, Jl. Raya Tim., Jatibarang Lor, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
39,Nasi goreng bang kumis,"Jl. Gajah Mada pasar No.81, Bogor, Limbangan Wetan, Kec. Brebes, Kabupaten Brebes, Jawa Tengah 52215"
40,Nasi goreng bang doel,"Jl. Ketanggungan - Slawi, Turi, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
41,Nasi goreng 99,"Jl. Abimanyu No.30, Talang Bata, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
42,Nasi goreng abah rifai jatibarang,"Jl. Raya Tim. No.139, Jatibarang Lor, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
43,Nasi goreng Al Barokah,"23M3+G9H, Jatibarang, Jatibarang Lor, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
44,Nasi goreng kurnia,"Jl. Raya Pedeslohor Jatibarang, Tegalwulung, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
45,Nasi goreng Kurnia,"Jl. Raya Pedeslohor Jatibarang, Tegalwulung, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
46,Nasi goreng bang kos,"32MQ+RJ5, Jl. Raya Jatibarang - Brebes, Waru, Pemaron, Kec. Brebes, Kabupaten Brebes, Jawa Tengah 52219"
47,Nasi goreng 57 mas id," Jl. Pramuka, Turi, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
48,Pondok nasi goreng gila,"23J4+MHV, Jl. Pramuka, Turi, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
49,Nasi goreng klampis,"JL, Rengas Pendawa No.Km. 2, Klampis Timur, Klampis, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
50,Nasi goreng nur aisyah jatibarang,"23R2+C4C, Janegara, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
51,Nasi goreng zulfa,"23M3+FRG, Jl. Raya Barat Jatibarang, Turi, Jatibarang Lor, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
52,Nasi goreng bang glowor,"Jl. Ketanggungan - Slawi No.104, Jatibarang Lor, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
53,"Nasigoreng Bontote Mboke, Jatibarang","Jl. Jatibarang Raya, Jatibarang, Brebes"
54,Nasi goreng hartoyo,"Jl. Merpati No.44, Rengasbandung, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
55,Nasi goreng mas pur,"Depan balai, Jl. Margasari - Jatibarang No.4277, RW.3, Kemiriamba, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
56,Nasi goreng mas  pur,"Depan balai, Jl. Margasari - Jatibarang No.4277, RW.3, Kemiriamba, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
57,Nasi Goreng Bang Kardi,"22XW+XRJ, Jalan Raya Jati Barang, Kendawa, Jatibarang, Brebes Regency, Central Java 52261"
58,Nasi goreng Rizki,"Jl. Ketanggungan - Slawi, Karanglo Dua, Karanglo, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
59,Nasi goreng doa ibu," 3VCH+4FP, Jalan raya No.8, RT.04/RW.002, Jagapura, Kec. Kersana, Kabupaten Brebes, Jawa Tengah 52264"
60,Nasi goreng bogares,"Jl. Masjid Al Mujahidin Jalan, Penumbukan, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
61,Nasi goreng hj sidik," Jl. Masjid Al Mujahidin No. 15, RT.03/RW.02, Kel, Penumbukan, Jatibarang Kidul, Jatibarang, Brebes Regency"
62,Nasi goreng mas falah,"Jl. Raya Barat Jatibarang No.4277, Kemiriamba, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
63,Nasi goreng caknur,"Jl. Pramuka No.09, Turi, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
64,Nasi goreng dapur berkah lumintu,"Jl. KH. Munadi No.1, Penumbukan, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
65,Nasi goreng sinar harapan,"33HH+797, Jl. Lengkong -Adiwerna, Kalipucang, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
66,Nasi goreng spesial dua saudara,"23Q3+F9X, Jalan Raya Jatibarang - Brebes, Janegara, Jatibarang, Brebes Regency, Central Java 52261"
67,Nasi goreng kang asep,"3V5J+Q6W, Karangmalang Satu, Karangmalang, Kec. Jatibrang, Kabupaten Brebes, Jawa Tengah 52263"
68,Nasi goreng kang asep,"3V5J+Q6W, Karangmalang Satu, Karangmalang, Kec. Jatibrang, Kabupaten Brebes, Jawa Tengah 52265"
69,Nasi goreng abah idin,"Jl. Masjid Al Mujahidin No. 15, RT.03/RW.02, Kel, Penumbukan, Jatibarang Kidul, Jatibarang, Brebes Regency, Central Java 52261"
70,Warung nasi ponggol Mba Dewi jatibarang,"Jl. Masjid Al Mujahidin Jalan, Penumbukan, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
71,Pecel lele 99,"32JQ+JFJ, Jl. Raya Jatibarang - Brebes, Waru, Pemaron, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52219"
72,Pecel lele 99,"32JQ+JFJ, Jl. Raya Jatibarang - Brebes, Waru, Pemaron, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52220"
73,Pecel lele 99,"32JQ+JFJ, Jl. Raya Jatibarang - Brebes, Waru, Pemaron, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52221"
74,Pecel lele murah,"23F7+F3F, Jl. Raden Patah, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
75,Pecel lele & sea food," Jl. Margasari - Jatibarang No.11, RT.01/RW.01, Kemiriamba, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
76,warung pecel lele,
77,Langgeng murah ,"23R2+WHJ, Jl. Raya Jatibarang, Kendawa, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
78,Pecel lele yuni jaya," Jl. Raya Tim. No.1, Jatibarang Lor, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
79,Pecel lele Rizki 99 jaya,"32PQ+8JJ, Jl. Raya Jatibarang - Brebes, Terlangu, Kec. Brebes, Kabupaten Brebes, Jawa Tengah 52219"
80,Pecel lele Rizki 99 jaya,"32PQ+8JJ, Jl. Raya Jatibarang - Brebes, Terlangu, Kec. Brebes, Kabupaten Brebes, Jawa Tengah 522219"
81,LESEHAN PECEL LELE mbak dewi,"Klampis Barat, Klampis, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah"
82,Warung Makan SEAFOOD&PECEL LELE (putroromo33)," Jl. Raya Barat Jatibarang No.67, Turi, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
83,Warung Makan SEAFOOD&PECEL LELE (putroromo33)," Jl. Raya Barat Jatibarang No.67, Turi, Jatibarang Kidul, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52263"
84,Pecel lele LANGGENG MURAH 02,"22RX+5WM, Janegara, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah"
85,Pecel lele cak konde,"338G+WV9, Pedeslohor, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
86,Pecel Lele Yu Us,"338G+WV9, Pedeslohor, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
87,Pecel Lele Yu Us,"332F+G8C, Tegalwulung, Kec. Jatibarang, Kabupaten Brebes, Jawa Tengah 52261"
