id,menuId,userId,rating,comment
1,1,1,3,Fantastic
2,2,1,1,Bad
3,3,1,5,Poor
4,4,1,2,Bad
5,5,1,5,Not bad
6,6,1,1,Poor
7,7,1,2,Good
8,8,1,4,Average
9,9,1,4,Nice
10,10,1,3,Could be better
11,11,1,2,Average
12,12,1,1,Good
13,13,1,2,Nice
14,14,1,5,Delicious
15,15,1,3,Bad
16,16,1,5,Fantastic
17,17,1,3,Poor
18,18,1,1,Delicious
19,19,1,5,Bad
20,20,1,1,Could be better
21,21,1,5,Good
22,22,1,1,Delicious
23,23,1,3,Excellent
24,24,1,5,Nice
25,25,1,5,Average
26,26,1,2,Delicious
27,27,1,5,Could be better
28,28,1,3,Poor
29,29,1,4,Delicious
30,30,1,3,Bad
31,31,1,2,Delicious
32,32,1,5,Delicious
33,33,1,3,Bad
34,34,1,5,Good
35,35,1,5,Could be better
36,36,1,2,Bad
37,37,1,3,Excellent
38,38,1,2,Could be better
39,39,1,5,Average
40,40,1,3,Nice
41,41,1,3,Good
42,42,1,3,Excellent
43,43,1,4,Nice
44,44,1,5,Could be better
45,45,1,4,Good
46,46,1,1,Fantastic
47,47,1,3,Fantastic
48,48,1,4,Not bad
49,49,1,4,Nice
50,50,1,5,Could be better
51,51,1,1,Fantastic
52,52,1,2,Bad
53,53,1,1,Bad
54,54,1,1,Could be better
55,55,1,1,Not bad
56,56,1,2,Delicious
57,57,1,5,Good
58,58,1,2,Not bad
59,59,1,3,Good
60,60,1,5,Excellent
61,61,1,1,Good
62,62,1,1,Delicious
63,63,1,1,Bad
64,64,1,5,Could be better
65,65,1,1,Delicious
66,66,1,3,Average
67,67,1,3,Poor
68,68,1,3,Fantastic
69,69,1,3,Average
70,70,1,4,Not bad
71,71,1,5,Good
72,72,1,4,Delicious
73,73,1,1,Average
74,74,1,3,Fantastic
75,75,1,4,Delicious
76,76,1,1,Excellent
77,77,1,1,Nice
78,78,1,5,Bad
79,79,1,4,Delicious
80,80,1,2,Average
81,81,1,3,Average
82,82,1,3,Nice
83,83,1,3,Nice
84,84,1,4,Not bad
85,85,1,3,Excellent
86,86,1,3,Could be better
87,87,1,4,Poor
88,88,1,1,Bad
89,89,1,3,Poor
90,90,1,4,Average
91,91,1,5,Not bad
92,92,1,5,Average
93,93,1,1,Not bad
94,94,1,1,Poor
95,95,1,5,Good
96,96,1,4,Delicious
97,97,1,1,Average
98,98,1,3,Delicious
99,99,1,3,Bad
100,100,1,4,Fantastic
101,101,1,4,Bad
102,102,1,4,Could be better
103,103,1,3,Could be better
104,104,1,3,Fantastic
105,105,1,3,Poor
106,106,1,3,Excellent
107,107,1,2,Fantastic
108,108,1,5,Nice
109,109,1,1,Poor
110,110,1,1,Good
111,111,1,3,Fantastic
112,112,1,4,Poor
113,113,1,2,Fantastic
114,114,1,2,Nice
115,115,1,3,Poor
116,116,1,3,Good
117,117,1,2,Fantastic
118,118,1,1,Could be better
119,119,1,2,Excellent
120,120,1,3,Bad
121,121,1,2,Nice
122,122,1,2,Good
123,123,1,2,Bad
124,124,1,4,Delicious
125,125,1,3,Delicious
126,126,1,4,Bad
127,127,1,3,Could be better
128,128,1,4,Nice
129,129,1,5,Poor
130,130,1,1,Could be better
131,131,1,4,Could be better
132,132,1,4,Delicious
133,133,1,1,Bad
134,134,1,4,Excellent
135,135,1,1,Delicious
136,136,1,1,Excellent
137,137,1,5,Fantastic
138,138,1,1,Delicious
139,139,1,4,Excellent
140,140,1,2,Bad
141,141,1,2,Excellent
142,142,1,1,Average
143,143,1,1,Good
144,144,1,4,Nice
145,145,1,3,Bad
146,146,1,2,Bad
147,147,1,5,Bad
148,148,1,1,Average
149,149,1,1,Could be better
150,150,1,5,Excellent
151,151,1,5,Excellent
152,152,1,2,Bad
153,153,1,3,Nice
154,154,1,3,Excellent
155,155,1,4,Excellent
156,156,1,4,Could be better
157,157,1,4,Delicious
158,158,1,2,Average
159,159,1,1,Not bad
160,160,1,2,Not bad
161,161,1,1,Bad
162,162,1,1,Poor
163,163,1,5,Could be better
164,164,1,5,Could be better
165,165,1,3,Bad
166,166,1,2,Nice
167,167,1,3,Not bad
168,168,1,3,Average
169,169,1,5,Delicious
170,170,1,2,Average
171,171,1,2,Poor
172,172,1,4,Could be better
173,173,1,2,Average
174,174,1,4,Good
175,175,1,5,Excellent
176,176,1,3,Delicious
177,177,1,4,Not bad
178,178,1,3,Excellent
179,179,1,3,Could be better
180,180,1,4,Good
181,181,1,1,Could be better
182,182,1,2,Average
183,183,1,1,Nice
184,184,1,3,Delicious
185,185,1,1,Delicious
186,186,1,3,Poor
187,187,1,1,Not bad
188,188,1,4,Bad
189,189,1,3,Bad
190,190,1,5,Could be better
191,191,1,4,Nice
192,192,1,1,Excellent
193,193,1,1,Delicious
194,194,1,4,Average
195,195,1,1,Poor
196,196,1,5,Poor
197,197,1,5,Not bad
198,198,1,3,Good
199,199,1,2,Delicious
200,200,1,3,Bad
201,201,1,1,Nice
202,202,1,2,Bad
203,203,1,3,Good
204,204,1,1,Nice
205,205,1,1,Bad
206,206,1,5,Good
207,207,1,2,Excellent
208,208,1,5,Nice
209,209,1,1,Good
210,210,1,2,Average
211,211,1,1,Good
212,212,1,5,Poor
213,213,1,5,Bad
214,214,1,5,Delicious
215,215,1,3,Average
216,216,1,5,Could be better
217,217,1,1,Excellent
218,218,1,5,Could be better
219,219,1,3,Not bad
220,220,1,1,Fantastic
221,221,1,4,Bad
222,222,1,4,Nice
223,223,1,4,Average
224,224,1,3,Average
225,225,1,2,Fantastic
226,226,1,2,Fantastic
227,227,1,4,Not bad
228,228,1,3,Good
229,229,1,4,Poor
230,230,1,1,Excellent
231,231,1,4,Nice
232,232,1,2,Poor
233,233,1,5,Could be better
234,234,1,4,Good
235,235,1,5,Excellent
236,236,1,4,Average
237,237,1,3,Poor
238,238,1,4,Nice
239,239,1,4,Fantastic
240,240,1,5,Fantastic
241,241,1,3,Could be better
242,242,1,2,Average
243,243,1,5,Delicious
244,244,1,4,Could be better
245,245,1,5,Fantastic
246,246,1,4,Could be better
247,247,1,5,Average
248,248,1,5,Not bad
249,249,1,2,Could be better
250,250,1,2,Delicious
251,251,1,2,Nice
252,252,1,1,Delicious
253,253,1,1,Could be better
254,254,1,2,Bad
255,255,1,4,Not bad
256,256,1,3,Bad
